url,occid,has_image
https://cch2.org/portal/collections/individual/index.php?occid=2207336,2207336,No image
https://cch2.org/portal/collections/individual/index.php?occid=2207339,2207339,No image
https://cch2.org/portal/collections/individual/index.php?occid=2207374,2207374,No image
https://cch2.org/portal/collections/individual/index.php?occid=2207383,2207383,No image
https://cch2.org/portal/collections/individual/index.php?occid=2207423,2207423,No image
https://cch2.org/portal/collections/individual/index.php?occid=2207434,2207434,No image
https://cch2.org/portal/collections/individual/index.php?occid=2207437,2207437,No image
https://cch2.org/portal/collections/individual/index.php?occid=2262520,2262520,Image present
https://cch2.org/portal/collections/individual/index.php?occid=239858,239858,No image
https://cch2.org/portal/collections/individual/index.php?occid=239881,239881,No image
https://cch2.org/portal/collections/individual/index.php?occid=239908,239908,No image
https://cch2.org/portal/collections/individual/index.php?occid=239971,239971,No image
https://cch2.org/portal/collections/individual/index.php?occid=239984,239984,No image
https://cch2.org/portal/collections/individual/index.php?occid=240008,240008,No image
https://cch2.org/portal/collections/individual/index.php?occid=240030,240030,No image
https://cch2.org/portal/collections/individual/index.php?occid=240045,240045,No image
https://cch2.org/portal/collections/individual/index.php?occid=240048,240048,No image
https://cch2.org/portal/collections/individual/index.php?occid=240097,240097,No image
https://cch2.org/portal/collections/individual/index.php?occid=240127,240127,No image
https://cch2.org/portal/collections/individual/index.php?occid=240160,240160,No image
https://cch2.org/portal/collections/individual/index.php?occid=240188,240188,No image
https://cch2.org/portal/collections/individual/index.php?occid=240208,240208,No image
https://cch2.org/portal/collections/individual/index.php?occid=240217,240217,No image
https://cch2.org/portal/collections/individual/index.php?occid=240225,240225,No image
https://cch2.org/portal/collections/individual/index.php?occid=240237,240237,No image
https://cch2.org/portal/collections/individual/index.php?occid=240241,240241,No image
https://cch2.org/portal/collections/individual/index.php?occid=240297,240297,No image
https://cch2.org/portal/collections/individual/index.php?occid=240327,240327,No image
https://cch2.org/portal/collections/individual/index.php?occid=240360,240360,No image
https://cch2.org/portal/collections/individual/index.php?occid=240388,240388,No image
https://cch2.org/portal/collections/individual/index.php?occid=240408,240408,No image
https://cch2.org/portal/collections/individual/index.php?occid=240417,240417,No image
https://cch2.org/portal/collections/individual/index.php?occid=240425,240425,No image
https://cch2.org/portal/collections/individual/index.php?occid=240437,240437,No image
https://cch2.org/portal/collections/individual/index.php?occid=240441,240441,No image
