gbifID,image_url,download_status
894984655,https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12153/default.jpg,OK
894984604,https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12151/default.jpg,OK
894984579,https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12150/default.jpg,OK
5937711436,https://bry.byu.edu/Herbarium/imgbry/03/0306/BRYV0306441_lg.jpg,OK
5937677303,https://cch2.org/media/STNF/STNF03/STNF03871.jpg,OK
5900701147,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0655/RSA0655256.jpg,OK
5889171835,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0001000/TAC01389.jpg,OK
5886721746,"https://neherbaria.org/media/StateUniversityofNewYork,Oswego_OSW/OSW0035/OSW0035719.jpg",OK
5836322208,https://cdn.floridamuseum.ufl.edu/Herbarium/31c6de21-3752-4358-bd6f-d2d94bc69e77,OK
5836321492,https://cdn.floridamuseum.ufl.edu/Herbarium/86a78522-b891-4781-88f0-e40980452d8f,OK
5833124723,https://cch2.org/media/UCSC/UCSC100016/UCSC100016972.jpg,OK
5758873790,https://cdn.plantatlas.org/img/specimens/USF/305872.jpg,Error: 404 Client Error: Not Found for url: https://cdn.plantatlas.org/img/specimens/USF/305872.jpg
5758873315,https://cdn.plantatlas.org/img/specimens/USF/305871.jpg,Error: 404 Client Error: Not Found for url: https://cdn.plantatlas.org/img/specimens/USF/305871.jpg
5295083176,,No URL
5294112234,https://cch2.org/media/UCSC/UCSC100016/UCSC100016571.jpg,OK
5208943620,https://media01.symbiota.org/media/cch2/UCSB/UCSB072/UCSB072715.jpg,OK
5207750301,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0654/RSA0654396.jpg,OK
5198257856,https://ibss-images.calacademy.org/static/botany/originals/7c/de/7cdec34e-0c5f-4ffe-a68b-a916166024b1.jpg,OK
5198256842,https://ibss-images.calacademy.org/static/botany/originals/da/52/da52572a-b521-4a17-91f7-2305fdf6eb26.jpg,OK
5198256841,https://ibss-images.calacademy.org/static/botany/originals/b1/2d/b12d4810-f2e7-4b1f-9bcc-f3064bc04b34.jpg,OK
5198227852,https://ibss-images.calacademy.org/static/botany/originals/3b/36/3b365763-1afa-46d8-b39f-7c1017a969d1.jpg,OK
5198226846,https://ibss-images.calacademy.org/static/botany/originals/0a/af/0aaf9b43-4b83-469f-81d2-7f464e19c552.jpg,OK
5198226845,https://ibss-images.calacademy.org/static/botany/originals/5a/c3/5ac3d889-8409-49a7-898f-abf3c97c87b7.jpg,OK
5198224849,https://ibss-images.calacademy.org/static/botany/originals/e0/0a/e00adeba-f819-4455-9a55-32b4baef590a.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/e0/0a/e00adeba-f819-4455-9a55-32b4baef590a.jpg
5198222848,https://ibss-images.calacademy.org/static/botany/originals/bd/91/bd9136dd-ae21-4b6b-a9c4-a4462925ab3d.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/bd/91/bd9136dd-ae21-4b6b-a9c4-a4462925ab3d.jpg
5198218870,https://ibss-images.calacademy.org/static/botany/originals/82/b5/82b5061a-ce8f-4318-87c1-51a22fc8f754.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/82/b5/82b5061a-ce8f-4318-87c1-51a22fc8f754.jpg
5198215850,https://ibss-images.calacademy.org/static/botany/originals/f8/92/f892b072-bbc5-441c-acdc-f29bca25bd26.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/f8/92/f892b072-bbc5-441c-acdc-f29bca25bd26.jpg
5198194851,https://ibss-images.calacademy.org/static/botany/originals/e4/b4/e4b43a96-3422-413c-ae41-72ebc9fc2a6e.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/e4/b4/e4b43a96-3422-413c-ae41-72ebc9fc2a6e.jpg
5198194850,https://ibss-images.calacademy.org/static/botany/originals/75/3a/753a9e01-a305-4707-8bc8-e0660a126626.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/75/3a/753a9e01-a305-4707-8bc8-e0660a126626.jpg
5198193841,https://ibss-images.calacademy.org/static/botany/originals/1d/12/1d1242c6-91e5-4a41-9800-8772c91ecf09.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/1d/12/1d1242c6-91e5-4a41-9800-8772c91ecf09.jpg
5198193840,https://ibss-images.calacademy.org/static/botany/originals/70/9f/709f01ca-431b-41fb-889d-c93c85f9c4bb.jpg,Error: 404 Client Error: Not Found for url: https://ibss-images.calacademy.org/static/botany/originals/70/9f/709f01ca-431b-41fb-889d-c93c85f9c4bb.jpg
