Reason,gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,taxonomicIssue,nonTaxonomicIssue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,isInvasive,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,5208874362,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://intermountainbiota.org/portal/collections/individual/index.php?occid=33916212,,,,7a1ddfba-70c1-4cf6-a25c-a029d256805f,,WS,,,,PRESERVED_SPECIMEN,,,,5a45e21f-5d47-4702-9f26-b055e6e9a9f1,,36194,Walter Fertig,,,,,,,Fruiting,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,6/15/2024,,167,167,2024,6,15,,"Weedy roadbank in granitic sand fill dominated by Lupinus arboreus, Cytisus scoparius, Bromus diandrus, Brassica, and Leucanthemum.",,,,,,,,,,NORTH_AMERICA,,,,US,Washington,Clallam,,"East end of Port Angeles, along Deer Park Loop, just west of Deer Park Cinema and Hwy 101. T30N R5W S8 NW4 SE4",,250 ft,,,,,,,48.104444,-123.346394,,,,,,,,,Walter Fertig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,7b742032-9940-4da3-8c1a-3eaceaed4f1f,US,2026-01-06T18:01:43.026Z,76,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:01:43.026Z,2026-01-06T17:51:16.011Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.48_1,Washington,USA.48.5_1,Clallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859084607,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976572,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,7E99E828-EEDC-4E45-B102-F114986759A0,CM168744,s.n.,"Miller, J.",,,,,,,"fl,fr",,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1894-07,,,,1894,7,,1894-7,,,,,,,,,,,NORTH_AMERICA,,,,US,Rhode Island,Providence,,Providence,,,,,,,,,41.823989,-71.412834,6081,,,,,,,,David Newbury,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:07.562Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:07.562Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.40_1,Rhode Island,USA.40.4_1,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859348932,,,,CC0_1_0,1994-01-06T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11983570,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,BA4A79D9-E993-4F62-B360-6A01C5E3B5E0,CM214770,s.n.,Robbins,,,,,,,,,,,,,,reviewed - high confidence,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1827,,,,1827,,,1827,cultivated,,,,,,,,,,NORTH_AMERICA,,,,US,Connecticut,New Haven,,New Haven,,,,,,,,,41.308153,-72.928158,7710,,,,,,,,isaac (2019-12-17 12:40:01),,,georef batch tool 2019-12-17; GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,,,,,,,,Raphanus sativus L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,sativus,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:37.488Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,,DWC_ARCHIVE,2026-01-14T00:02:37.488Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.7_1,Connecticut,USA.7.5_1,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859383969,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11983990,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,47683D10-62FA-4BF6-809B-42D46A16CF6F,CM216136,s.n.,"Kutchka, L.M.",,,,,,,"fl,fr",,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,8/10/1955,,222,222,1955,8,10,10-Aug-55,,,,,,,,,,,NORTH_AMERICA,,,,US,Maine,Cumberland,,Prouts Neck,,,,,,,,,43.533418,-70.314493,1145,,,,,,,,isaac (2023-01-19 20:06:27),,,georef batch tool 2023-01-19; GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:15.148Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:15.148Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.20_1,Maine,USA.20.3_1,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859103029,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11985050,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,BE8665A7-C1AE-4C14-88CA-ADF0C296E13C,CM224406,s.n.,"Ogden, J.G.",,,,,,,"fl,fr",,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1892,,,,1892,,,Jul-Aug 1892,,,,,,,,,,,NORTH_AMERICA,,,,US,California,Ventura,,Ventura,,,,,,,,,34.278335,-119.293168,3036,,,,,,,,David Newbury,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,W.A. Weber 1981,,,,,,4569,,,,,,,,Raphanus L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,,,,,,,GENUS,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:21.737Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040962,3040962,6,7707728,220,7225535,3112,3040962,,,,Raphanus L.,Raphanus,,DWC_ARCHIVE,2026-01-14T00:02:21.737Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.56_1,Ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859090093,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11986368,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,B908108F-483A-4B61-B9C3-1BE1B39D5999,CM258809,87018,"Ahles, H.E.",,,,,,,"fl,fr",,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,7/5/1979,,186,186,1979,7,5,5-Jul-79,waste ground,,,,,,,,,,NORTH_AMERICA,,,,US,Massachusetts,Hampshire,,"Daymon Road near railroad, Northampton",,,,,,,,,42.336456,-72.625001,758,,,,,,,,Isaac (2026-01-01 20:50:12),,,georef batch tool 2026-01-01; GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:01:57.728Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:01:57.728Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.22_1,Massachusetts,USA.22.8_1,Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859384258,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11989750,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,003C1F78-8E81-487D-B676-5965C4265D87,CM285957,745,"Thomas, W.W.",,,,,,,fl,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,4/7/1973,,97,97,1973,4,7,7-Apr-73,old field,,,,,,,,,,NORTH_AMERICA,,,,US,South Carolina,Horry,,2 mi SE of Conway on US 701,,,,,,,,,33.815482,-79.023112,8300,,,,,,,,David Newbury,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:42.022Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:42.022Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.41_1,South Carolina,USA.41.26_1,Horry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859096364,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11991759,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,C002C646-C6D7-4659-832F-417B776A48BB,CM303327,82777,"Thomas, R.D.; Taylor, D.D.",,,,,,,fl,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,3/10/1983,,69,69,1983,3,10,10-Mar-83,roadbank,,,,,,,,,,,,,,US,Louisiana,Bossier,,I-220 at Airline Drive (Bossier 3105) N of Bossier City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,17efa320-7312-4b55-bf0a-a4cfc4613169,BR,2025-12-28T19:51:26.334Z,,,,,,INSTITUTION_MATCH_NONE,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2025-12-28T19:51:26.334Z,2025-12-28T19:45:19.089Z,,TRUE,,,FALSE,NORTH_AMERICA,LATIN_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859354611,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11997014,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,EEE2B52B-B2F4-40BB-B9AB-3E1DA12A08C7,CM356020,s.n.,"Miller, J.",,,,,,,"fl,fr",,,,,,,reviewed - high confidence,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1895-06,,,,1895,6,,"fl 7 Jun 1895, fr 27 Jun 1895",,,,,,,,,,,NORTH_AMERICA,,,,US,Rhode Island,Providence,,East Providence,,,,,,,,,41.815327,-71.368284,4000,,,,,,,,funkag (2021-12-27 17:53:42),,,georef batch tool 2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:20.325Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:20.325Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.40_1,Rhode Island,USA.40.4_1,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859098971,,,,CC0_1_0,1994-01-06T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12003932,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,09767448-8E9D-4A75-927C-19F162A93076,CM440141,8856,"Moldenke, H.N.",,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,9/6/1935,,249,249,1935,9,6,6-Sep-35,cultivated,,,,,,,,,,NORTH_AMERICA,,,,US,Vermont,Windham,,Jamaica,,,,,,,,,43.100356,-72.77843,3036,,,,,,,,David Newbury,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,,,,,,,,Raphanus sativus L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,sativus,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:08.474Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,,DWC_ARCHIVE,2026-01-14T00:02:08.474Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.46_1,Vermont,USA.46.13_1,Windham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859391086,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12006550,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,F158D01B-69C7-459B-B1D2-C7DB0C7BC074,CM450094,s.n.,"Mason, E.",,,,,,,fl-fr,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,6/24/1945,,175,175,1945,6,24,24-Jun-45,waste field,,,,,,,,,,NORTH_AMERICA,,,,US,California,Los Angeles,,Pasadena,,,,,,,,,34.147785,-118.144516,9980,,,,,,,,David Newbury,,,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:07.586Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:07.586Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859394091,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12006551,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,3B81EFDE-1A14-43AB-8986-8E34E6A2AAB7,CM450095,s.n.,"Wright, C.",,,,,,,fl-fr,,,,,,,reviewed - high confidence,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.d.,,,,,,,,,,,NORTH_AMERICA,,,,US,Connecticut,,,no further locality,,,,,,,,,41.586789,-72.813091,100040,,,,,,,,isaac (2021-07-27 08:12:39),,,georef batch tool 2021-07-27; GeoLocate,mapped entire state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:07.816Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:07.816Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.7_1,Connecticut,USA.7.2_1,Hartford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,2859110108,,,,CC0_1_0,2005-04-04T00:00:00Z,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12006552,Carnegie Museum of Natural History,,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,CM,botany,,,PRESERVED_SPECIMEN,,,,180B345B-13BF-45A2-A966-565B914CF14C,CM450096,s.n.,"Netting, M.G.",,,,,,,fl,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,3/5/1962,,64,64,1962,3,5,5-Mar-62,,,,,,,,,,,NORTH_AMERICA,,,,US,Georgia,Baker,,"Pineland Plantation, near Newton",,,,,,,,,31.362202,-84.272075,502,,,,,,,,alyssalanda (2024-12-12 12:04:00),,,georef batch tool 2024-12-12; GeoLocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,US,2026-01-14T00:02:13.520Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-14T00:02:13.520Z,2026-01-13T23:50:16.001Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.11_1,Georgia,USA.11.4_1,Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
