id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,
2437901,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74235,74235,urn:catalog:CAS:DS:670922,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Dows, Barbara",,s.n.,7/12/07,,1907,7,12,193,,12-Jul-07,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Sonoma County,,Sebastopol.,,0,,38.40299,-122.8247,WGS84,2000,,,,,,,,,,,,,,en,,5/13/11 14:39,urn:catalog:CAS:BOT-BC:74235,1,848c5c4f-958e-4c79-af9d-1dbacacb9671,https://cch2.org/portal/collections/individual/index.php?occid=2437901,https://cch2.org/portal/collections/individual/index.php?occid=2437901
2336172,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74305,74305,urn:catalog:CAS:DS:13639,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Patterson, Miss.; Wiltz",,66,6/6/07,,1907,6,6,157,,"June 6, 1907.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Monterey Peninsula. Near bath house. Pacific Grove.,,0,,36.61798,-121.91838,WGS84,3000,,,,,,,,,,,,,,en,,5/16/11 13:38,urn:catalog:CAS:BOT-BC:74305,1,8193d577-8948-49eb-8f3c-b87b2247d6a6,https://cch2.org/portal/collections/individual/index.php?occid=2336172,https://cch2.org/portal/collections/individual/index.php?occid=2336172
2300919,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74309,74309,urn:catalog:CAS:DS:13638,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Patterson, Miss.; Wiltz",,s.n.,7/1/07,,1907,7,1,182,,"July 1, 1907.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Monterey Peninsula. Chinatown. Pacific Grove.,,0,,36.61798,-121.91838,WGS84,3000,,,,,,,,,,,,,,en,,5/16/11 13:44,urn:catalog:CAS:BOT-BC:74309,1,69160ce0-1316-4a23-a094-dd0b398d7831,https://cch2.org/portal/collections/individual/index.php?occid=2300919,https://cch2.org/portal/collections/individual/index.php?occid=2300919
2465901,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74345,74345,urn:catalog:CAS:DS:62623,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Randall, Josephine D.",,122,6/5/07,,1907,6,5,156,,June 5th 1907,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Santa Clara County,,Santa Cruz Peninsula. Page Mill Road. Near Stanford University.,,0,,37.40652,-122.15379,WGS84,5000,,,,,,,,,,,,,,en,,5/16/11 16:27,urn:catalog:CAS:BOT-BC:74345,1,843bc177-f910-4f6e-b484-142f27333ea3,https://cch2.org/portal/collections/individual/index.php?occid=2465901,https://cch2.org/portal/collections/individual/index.php?occid=2465901
2328808,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74301,74301,urn:catalog:CAS:DS:17941,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Randall, Alice D.",,141,3/28/10,,1910,3,28,87,,"Mch. 28, 1910",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Monterey Peninsula. Carmel-By-The-Sea.,,0,,36.55431,-121.91422,WGS84,3000,,,,,,,,,,,,,,en,,5/16/11 13:33,urn:catalog:CAS:BOT-BC:74301,1,e87fe2d7-8d72-41c7-803b-da250dec86b5,https://cch2.org/portal/collections/individual/index.php?occid=2328808,https://cch2.org/portal/collections/individual/index.php?occid=2328808
2286003,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74303,74303,urn:catalog:CAS:DS:13786,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Randall, Alice D.",,410,4/26/10,,1910,4,26,116,,26-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Monterey Peninsula. Carmel Valley.,,0,,36.4807,-121.73367,WGS84,10000,,,,,,,,,,,,,,en,,5/16/11 13:34,urn:catalog:CAS:BOT-BC:74303,1,5944dd93-89fe-4b5d-83aa-646c1eb8a8ea,https://cch2.org/portal/collections/individual/index.php?occid=2286003,https://cch2.org/portal/collections/individual/index.php?occid=2286003
2334928,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74198,74198,urn:catalog:CAS:BOT:77386,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Smith, L. E.",,s.n.,5/19/13,,1913,5,19,139,,19-May-13,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Shasta County,,Anderson.,,0,,40.453011,-122.298523,WGS84,6000,,,,,,,,,,,,,,en,,5/13/11 11:54,urn:catalog:CAS:BOT-BC:74198,1,ef5cb3f7-888d-4442-8ac4-b1e406f6097e,https://cch2.org/portal/collections/individual/index.php?occid=2334928,https://cch2.org/portal/collections/individual/index.php?occid=2334928
2457381,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74311,74311,urn:catalog:CAS:BOT:77367,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,1/10/10,,,,,,"Newell, Gwendolan",,s.n.,7/8/14,,1914,7,8,189,,"July 8, 1914.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Pacific Grove.,,0,,36.62246,-121.9227,WGS84,2000,,,,,,,,,,,,,,en,,5/16/11 13:46,urn:catalog:CAS:BOT-BC:74311,1,835679c4-3fa3-42eb-ad7b-2e9fcbf4bb0d,https://cch2.org/portal/collections/individual/index.php?occid=2457381,https://cch2.org/portal/collections/individual/index.php?occid=2457381
2336537,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74243,74243,urn:catalog:CAS:BOT:77365,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Eastwood, Alice",,5022,4/17/16,,1916,4,17,108,,"Apr. 17, 1916",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Ventura County,,Ventura. Along Beach.,,0,,34.27006,-119.2944,WGS84,3000,,,,,,,,,,,,,,en,,5/13/11 14:54,urn:catalog:CAS:BOT-BC:74243,1,afb8b5aa-a757-4ad9-89e1-52ec496d56bd,https://cch2.org/portal/collections/individual/index.php?occid=2336537,https://cch2.org/portal/collections/individual/index.php?occid=2336537
2363992,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74220,74220,urn:catalog:CAS:DS:73784,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Stinchfield, Roxana",,438,7/11/16,,1916,7,11,193,,11-Jul-16,,Grainfields.,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Colusa County,,Stinchfield Ranch near Sycamore.,,0,,39.13277,-121.95056,WGS84,3000,,,,,,,,,,,,,,en,,5/13/11 12:35,urn:catalog:CAS:BOT-BC:74220,1,494a954b-8353-428c-881a-aee4f5c0e2c2,https://cch2.org/portal/collections/individual/index.php?occid=2363992,https://cch2.org/portal/collections/individual/index.php?occid=2363992
