reason,n_removed,n_remaining_after
Excluded state (stateProvince in states_exclude),0,2867
Country not US,0,2867
basisOfRecord not PRESERVED_SPECIMEN,0,2867
Empty locality (county-only),660,2207
mediaType not StillImage,601,1606
