gbifID,catalogNumber,institutionCode,cch2_occid,occurrenceID,locality,eventDate,scientificName,otherCatalogNumbers,image_source,source_dir,original_filename,original_stem,scoring_filename,id_check_status,id_check_notes,source_priority,selected_for_scoring
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3417594.jpg,3417594,3417594.jpg,unmatched,no unified occurrence row for CCH2 occid=3417594,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3428915.jpg,3428915,3428915.jpg,unmatched,no unified occurrence row for CCH2 occid=3428915,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3430357.jpg,3430357,3430357.jpg,unmatched,no unified occurrence row for CCH2 occid=3430357,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3433650.jpg,3433650,3433650.jpg,unmatched,no unified occurrence row for CCH2 occid=3433650,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3440200.jpg,3440200,3440200.jpg,unmatched,no unified occurrence row for CCH2 occid=3440200,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3444193.jpg,3444193,3444193.jpg,unmatched,no unified occurrence row for CCH2 occid=3444193,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3452051.jpg,3452051,3452051.jpg,unmatched,no unified occurrence row for CCH2 occid=3452051,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3462399.jpg,3462399,3462399.jpg,unmatched,no unified occurrence row for CCH2 occid=3462399,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3468200.jpg,3468200,3468200.jpg,unmatched,no unified occurrence row for CCH2 occid=3468200,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3475357.jpg,3475357,3475357.jpg,unmatched,no unified occurrence row for CCH2 occid=3475357,3,FALSE
