from_path,to_path,filename,action
/Volumes/Radishes/GBIF_phenology_scored_specimen_images/tmp/CDA-0059481.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/CDA_YOSE/CDA-0059481.jpg,CDA-0059481.jpg,move
/Volumes/Radishes/GBIF_phenology_scored_specimen_images/tmp/CDA-0059482.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/CDA_YOSE/CDA-0059482.jpg,CDA-0059482.jpg,move
/Volumes/Radishes/GBIF_phenology_scored_specimen_images/tmp/YOSE109090.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/CDA_YOSE/YOSE109090.jpg,YOSE109090.jpg,move
/Volumes/Radishes/GBIF_phenology_scored_specimen_images/tmp/YOSE109091.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/CDA_YOSE/YOSE109091.jpg,YOSE109091.jpg,move
/Volumes/Radishes/GBIF_phenology_scored_specimen_images/tmp/YOSE225087.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/CDA_YOSE/YOSE225087.jpg,YOSE225087.jpg,move
/Volumes/Radishes/GBIF_phenology_scored_specimen_images/tmp/YOSE65260.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/CDA_YOSE/YOSE65260.jpg,YOSE65260.jpg,move
,,SD00021403.jpg,missing_occid_copy_2890234.jpg
,,SD00023691.jpg,missing_occid_copy_3113067.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/3620051.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00025459.jpg,SD00025459.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/3700299.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00029907.jpg,SD00029907.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/3700296.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00030202.jpg,SD00030202.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469019.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00060083.jpg,SD00060083.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469015.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00060084.jpg,SD00060084.jpg,copy_keep_cch2_original
,,SD00061955.jpg,missing_occid_copy_469021.jpg
,,SD00061956.jpg,missing_occid_copy_468979.jpg
,,SD00062553.jpg,missing_occid_copy_468973.jpg
,,SD00062557.jpg,missing_occid_copy_469135.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469069.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062559.jpg,SD00062559.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469058.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062561.jpg,SD00062561.jpg,copy_keep_cch2_original
,,SD00062562.jpg,missing_occid_copy_3737681.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469010.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062563.jpg,SD00062563.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468972.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062564.jpg,SD00062564.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469123.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062583.jpg,SD00062583.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469096.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062584.jpg,SD00062584.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469095.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062585.jpg,SD00062585.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469063.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062589.jpg,SD00062589.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469062.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062590.jpg,SD00062590.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469111.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062628.jpg,SD00062628.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469107.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062630.jpg,SD00062630.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469085.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062638.jpg,SD00062638.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469078.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062639.jpg,SD00062639.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469066.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062647.jpg,SD00062647.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469067.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062648.jpg,SD00062648.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469147.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062650.jpg,SD00062650.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469129.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062655.jpg,SD00062655.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469128.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062656.jpg,SD00062656.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469036.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062659.jpg,SD00062659.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469031.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062660.jpg,SD00062660.jpg,copy_keep_cch2_original
,,SD00062662.jpg,missing_occid_copy_469027.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469006.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062664.jpg,SD00062664.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469002.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062666.jpg,SD00062666.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469012.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062667.jpg,SD00062667.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468987.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062668.jpg,SD00062668.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468986.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062669.jpg,SD00062669.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468970.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062671.jpg,SD00062671.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468968.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062672.jpg,SD00062672.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468967.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062673.jpg,SD00062673.jpg,copy_keep_cch2_original
,,SD00062675.jpg,missing_occid_copy_468982.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468977.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062676.jpg,SD00062676.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468980.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062677.jpg,SD00062677.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468971.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062678.jpg,SD00062678.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468974.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062679.jpg,SD00062679.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469126.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062682.jpg,SD00062682.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469040.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062685.jpg,SD00062685.jpg,copy_keep_cch2_original
,,SD00062686.jpg,missing_occid_copy_469038.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469079.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062691.jpg,SD00062691.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469165.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062696.jpg,SD00062696.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469164.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062697.jpg,SD00062697.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469163.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062698.jpg,SD00062698.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469160.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062701.jpg,SD00062701.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469152.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062702.jpg,SD00062702.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469151.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062705.jpg,SD00062705.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469139.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062706.jpg,SD00062706.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469137.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062707.jpg,SD00062707.jpg,copy_keep_cch2_original
,,SD00062710.jpg,missing_occid_copy_469018.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468984.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062713.jpg,SD00062713.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468995.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062714.jpg,SD00062714.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468990.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062715.jpg,SD00062715.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468991.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062716.jpg,SD00062716.jpg,copy_keep_cch2_original
,,SD00062717.jpg,missing_occid_copy_468992.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/468964.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062718.jpg,SD00062718.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469091.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062720.jpg,SD00062720.jpg,copy_keep_cch2_original
,,SD00062722.jpg,missing_occid_copy_469175.jpg
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469174.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062723.jpg,SD00062723.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469173.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062724.jpg,SD00062724.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469176.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062725.jpg,SD00062725.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469157.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062726.jpg,SD00062726.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469105.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062729.jpg,SD00062729.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469115.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062731.jpg,SD00062731.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469113.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062733.jpg,SD00062733.jpg,copy_keep_cch2_original
/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/469114.jpg,/Volumes/Radishes/locally_imaged_herbarium_sheets/SD/SD00062734.jpg,SD00062734.jpg,copy_keep_cch2_original
