gbifID,url,error
6326248462,https://ibss-images.calacademy.org/static/botany/originals/95/49/954901d3-6a8b-4b73-a6a9-e0cc50f5ae1e.jpg,403 Client Error: Forbidden for url: https://ibss-images.calacademy.org/static/botany/originals/95/49/954901d3-6a8b-4b73-a6a9-e0cc50f5ae1e.jpg
6326199356,https://ibss-images.calacademy.org/static/botany/originals/47/55/47551941-674c-4e1c-9797-180c46d645cf.jpg,403 Client Error: Forbidden for url: https://ibss-images.calacademy.org/static/botany/originals/47/55/47551941-674c-4e1c-9797-180c46d645cf.jpg
6326177492,https://ibss-images.calacademy.org/static/botany/originals/0b/95/0b9525cf-0952-4adc-b344-e6e6218d5a54.jpg,403 Client Error: Forbidden for url: https://ibss-images.calacademy.org/static/botany/originals/0b/95/0b9525cf-0952-4adc-b344-e6e6218d5a54.jpg
6326105302,https://ibss-images.calacademy.org/static/botany/originals/29/cd/29cd58bd-b0a2-4d11-8659-c93504c38642.jpg,403 Client Error: Forbidden for url: https://ibss-images.calacademy.org/static/botany/originals/29/cd/29cd58bd-b0a2-4d11-8659-c93504c38642.jpg
6289062386,https://ibss-images.calacademy.org/static/botany/originals/ac/7e/ac7eb1c7-fcac-4f38-afc4-65942780fd3b.JPG,403 Client Error: Forbidden for url: https://ibss-images.calacademy.org/static/botany/originals/ac/7e/ac7eb1c7-fcac-4f38-afc4-65942780fd3b.JPG
