gbifID,catalogNumber,institutionCode,scientificName,image_url,dest_path,image_source
6177102193,VSC0085004,VSC,Raphanus raphanistrum L.,https://sernecportal.org/media/sernec/VSC/VSC0085/VSC0085004.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177102193.jpg,gbif_fresh_download
6177088968,VSC0085003,VSC,Raphanus raphanistrum L.,https://sernecportal.org/media/sernec/VSC/VSC0085/VSC0085003.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177088968.jpg,gbif_fresh_download
6177086197,VSC0066008,VSC,Raphanus raphanistrum L.,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0066/VSC0066008.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177086197.jpg,gbif_fresh_download
6177074785,VSC0061928,VSC,Raphanus raphanistrum subsp. raphanistrum,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0061/VSC0061928.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177074785.jpg,gbif_fresh_download
6177069208,VSC0085005,VSC,Raphanus raphanistrum L.,https://sernecportal.org/media/sernec/VSC/VSC0085/VSC0085005.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177069208.jpg,gbif_fresh_download
6177067083,VSC0070576,VSC,Raphanus raphanistrum L.,https://sernecportal.org/media/sernec/VSC/VSC0070/VSC0070576.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177067083.jpg,gbif_fresh_download
6177063767,VSC0061925,VSC,Raphanus raphanistrum subsp. raphanistrum,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0061/VSC0061925.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177063767.jpg,gbif_fresh_download
6177040805,VSC0063716,VSC,Raphanus raphanistrum L.,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0063/VSC0063716.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177040805.jpg,gbif_fresh_download
6177039243,VSC0017699,VSC,Raphanus raphanistrum L.,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0017/VSC0017699.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177039243.jpg,gbif_fresh_download
6177039105,VSC0017696,VSC,Raphanus raphanistrum L.,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0017/VSC0017696.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177039105.jpg,gbif_fresh_download
6177037252,VSC0037429,VSC,Raphanus raphanistrum L.,https://media01.symbiota.org/media/seinet/sernec/VSC/VSC0037/VSC0037429.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6177037252.jpg,gbif_fresh_download
6161349323,IRVC127828,IRVC,Raphanus sativus L.,https://cch2.org/media/IRVC/IRVC127/IRVC127828.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6161349323.jpg,gbif_fresh_download
5886605349,IRVC126070,IRVC,Raphanus raphanistrum L.,https://cch2.org/media/IRVC/IRVC126/IRVC126070.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/5886605349.jpg,gbif_fresh_download
3503199475,IRVC122586,IRVC,Raphanus sativus L.,https://media01.symbiota.org/media/cch2/IRVC/IRVC122/IRVC122586_lg.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503199475.jpg,gbif_fresh_download
2989941284,RSA0191289,RSA,Raphanus sativus L.,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191289_lg.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2989941284.jpg,gbif_fresh_download
2989909284,RSA0191285,RSA,Raphanus sativus L.,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0191/RSA0191285_lg.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2989909284.jpg,gbif_fresh_download
1851989968,263958,UF,Raphanus sativus L.,https://cdn.floridamuseum.ufl.edu/Herbarium/1b93f81e-18e9-4b57-a434-93832f91bccb,/Volumes/Radishes/GBIF_2026_update_scoring_images/1851989968.jpg,gbif_fresh_download
