gbifID,image_source,original_filename,scoring_filename,from_path,to_path,copied,copy_note
2564272241,cch2_original,2866494.jpg,2564272241.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866494.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564272241.jpg,TRUE,copied
2564271426,cch2_original,2866502.jpg,2564271426.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866502.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271426.jpg,TRUE,copied
2564272649,cch2_original,2866542.jpg,2564272649.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866542.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564272649.jpg,TRUE,copied
2564271379,cch2_original,2866560.jpg,2564271379.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866560.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271379.jpg,TRUE,copied
2564270882,cch2_original,2866594.jpg,2564270882.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866594.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564270882.jpg,TRUE,copied
2564272168,cch2_original,2866599.jpg,2564272168.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866599.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564272168.jpg,TRUE,copied
2564272299,cch2_original,2866648.jpg,2564272299.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866648.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564272299.jpg,TRUE,copied
2564271517,cch2_original,2866661.jpg,2564271517.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866661.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271517.jpg,TRUE,copied
2564271941,cch2_original,2866696.jpg,2564271941.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866696.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271941.jpg,TRUE,copied
2564271963,cch2_original,2866720.jpg,2564271963.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866720.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271963.jpg,TRUE,copied
2564271792,cch2_original,2866834.jpg,2564271792.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866834.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271792.jpg,TRUE,copied
2564271726,cch2_original,2866856.jpg,2564271726.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866856.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271726.jpg,TRUE,copied
